epoch,train_loss,train_NarTop10Acc,tot_loss,tot_NarTop10Acc,valid_loss,valid_NarTop10Acc
1,2.924,0.002379,2.825,0.002991,,
2,2.823,0.003726,2.822,0.003029,2.731,0.002991
3,2.84,0.004044,2.822,0.002974,2.707,0.00308
4,2.898,0.003847,2.83,0.002974,,
5,2.83,0.004029,2.821,0.002909,2.7,0.003037
6,2.673,0.002844,2.827,0.002948,2.727,0.003048
7,3.021,0.002834,2.822,0.002945,,
8,2.897,0.002569,2.828,0.002999,2.712,0.003
9,2.879,0.00278,2.824,0.002954,2.711,0.003033
10,2.949,0.002909,2.82,0.002956,,
11,2.554,0.002973,2.822,0.002972,2.719,0.002912
12,2.986,0.003272,2.81,0.002994,2.731,0.00301
13,2.793,0.002778,2.816,0.002945,,
14,2.774,0.002697,2.834,0.002938,2.703,0.003047
15,2.624,0.002247,2.822,0.002977,2.7,0.003116
16,2.884,0.001945,2.819,0.002931,,
17,2.789,0.001105,2.825,0.002922,2.719,0.003087
18,2.71,0.00318,2.816,0.002943,2.706,0.003043
19,2.795,0.001984,2.815,0.002994,,
20,2.886,0.001515,2.816,0.002976,2.704,0.003065
21,2.722,0.003465,2.815,0.003034,2.7,0.003019
22,2.778,0.00372,2.824,0.002942,,
23,2.551,0.002848,2.818,0.002961,2.703,0.002892
24,3.039,0.002047,2.815,0.002943,2.706,0.00297
25,2.811,0.002772,2.817,0.002946,,
26,2.993,0.003529,2.813,0.002975,2.699,0.003092
27,2.776,0.00365,2.817,0.002983,2.703,0.002995
28,3.05,0.004083,2.818,0.002976,,
29,2.634,0.002449,2.812,0.002976,2.678,0.003073
30,2.726,0.00222,2.819,0.002993,,
