epoch,train_loss,train_ArTop10Acc,train_NarTop10Acc,tot_loss,tot_ArTop10Acc,tot_NarTop10Acc,valid_loss,valid_ArTop10Acc,valid_NarTop10Acc
1,2.728,0.004009,0.003172,2.673,0.002907,0.002999,,,
2,2.725,0.00397,0.003339,2.642,0.002908,0.003026,,,
3,2.771,0.004256,0.004943,2.636,0.002907,0.003003,2.566,0.002908,0.003039
4,2.604,0.004095,0.004014,2.639,0.002903,0.002959,,,
5,2.693,0.003979,0.002536,2.637,0.002904,0.002899,,,
6,2.622,0.002645,0.002489,2.641,0.0029,0.002921,2.562,0.002908,0.003041
7,2.697,0.002764,0.002834,2.637,0.002892,0.002944,,,
8,2.639,0.002543,0.002185,2.641,0.002899,0.002934,,,
9,2.673,0.004028,0.00278,2.631,0.002896,0.002986,2.561,0.002908,0.003056
10,2.689,0.004143,0.002747,2.637,0.002912,0.002954,,,
11,2.498,0.002659,0.002023,2.633,0.002899,0.002962,,,
12,2.666,0.004264,0.00385,2.634,0.002904,0.002998,2.553,0.002908,0.002987
13,2.75,0.00414,0.003269,2.632,0.002895,0.002963,,,
14,2.56,0.001882,0.001391,2.632,0.002893,0.002945,,,
15,2.489,0.001842,0.002921,2.63,0.002888,0.002986,2.56,0.002908,0.003162
16,2.653,0.001909,0.002122,2.634,0.002895,0.002879,,,
17,2.469,0.001503,0.00158,2.627,0.002889,0.003019,,,
18,2.547,0.002565,0.00318,2.631,0.002891,0.002941,2.553,0.002908,0.003051
19,2.648,0.001953,0.001984,2.629,0.002895,0.002987,,,
20,2.562,0.001505,0.001418,2.632,0.002883,0.002972,,,
21,2.664,0.002681,0.003465,2.629,0.002903,0.003033,2.554,0.002908,0.002972
22,2.663,0.003834,0.00372,2.63,0.002897,0.002954,,,
23,2.615,0.00262,0.00269,2.632,0.002895,0.002918,,,
24,2.65,0.002501,0.001901,2.634,0.002891,0.002969,2.552,0.002908,0.002947
25,2.659,0.002649,0.00297,2.625,0.0029,0.002959,,,
26,2.766,0.002521,0.001575,2.631,0.002891,0.002965,,,
27,2.657,0.002809,0.002882,2.63,0.002894,0.002966,2.553,0.002908,0.003077
28,2.666,0.004057,0.004083,2.628,0.002903,0.002985,,,
29,2.539,0.001934,0.002381,2.63,0.00289,0.002906,,,
30,2.614,0.002598,0.002061,2.624,0.0029,0.002998,,,
